City ID,City,Country,Date,Lat,Lng,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
193,Berbera,SO,2022-12-28 03:57:57,10.4396,45.0143,74.64,74,39,3.58
194,Souillac,MU,2022-12-28 04:01:55,-20.5167,57.5167,78.08,69,4,12.97
195,Kimbe,PG,2022-12-28 04:01:55,-5.5502,150.1429,85.24,69,100,9.42
196,Roald,NO,2022-12-28 04:01:56,62.5833,6.1333,34.75,64,66,18.41
197,Sokoni,TZ,2022-12-28 04:01:56,-6.4333,39.55,79.23,78,58,4.38
198,Mayo,US,2022-12-28 04:01:56,38.8876,-76.5119,33.13,78,0,3.44
199,Meulaboh,ID,2022-12-28 04:01:57,4.1363,96.1285,80.49,78,100,0.45
200,Tommot,RU,2022-12-28 04:01:58,58.9564,126.2925,-22.5,98,73,0.2
201,Saint Paul Harbor,US,2022-12-28 04:01:58,57.79,-152.4072,30.0,79,36,1.59
202,Gorontalo,ID,2022-12-28 04:01:59,0.5412,123.0595,87.62,60,100,3.56
203,Kumul,CN,2022-12-28 04:01:59,42.8,93.45,21.67,40,16,3.47
204,Nemuro,JP,2022-12-28 04:01:59,43.3236,145.575,34.86,68,10,9.44
205,Aklavik,CA,2022-12-28 04:02:00,68.2191,-135.0107,-24.79,99,100,5.77
206,Kruisfontein,ZA,2022-12-28 04:02:00,-34.0033,24.7314,60.89,92,19,4.74
207,Batticaloa,LK,2022-12-28 04:02:01,7.7102,81.6924,80.29,77,5,7.65
208,Celestún,MX,2022-12-28 04:02:01,20.8667,-90.4,69.87,73,16,10.54
209,Baharly,TM,2022-12-28 04:02:02,38.4362,57.4316,41.38,74,97,1.88
210,Kisarawe,TZ,2022-12-28 04:02:02,-6.9,39.0667,72.97,94,63,2.1
211,Aksu,CN,2022-12-28 04:02:02,41.1231,80.2644,22.66,50,0,2.33
212,Hilo,US,2022-12-28 04:02:03,19.7297,-155.09,79.29,94,0,1.01
213,Bakhtiyārpur,IN,2022-12-28 03:58:08,25.4667,85.5167,53.62,39,0,6.96
214,Rājākhera,IN,2022-12-28 04:02:03,26.8961,78.1714,58.35,32,0,9.55
215,Ulladulla,AU,2022-12-28 03:58:09,-35.35,150.4667,81.66,50,2,19.86
216,Badulla,LK,2022-12-28 04:00:42,6.9895,81.0557,75.16,80,7,5.12
217,Lorengau,PG,2022-12-28 04:02:04,-2.0226,147.2712,82.92,75,100,9.1
218,Bambous Virieux,MU,2022-12-28 04:02:05,-20.3428,57.7575,81.21,69,10,13.15
219,Verkhnyaya Inta,RU,2022-12-28 04:02:05,65.9811,60.3094,13.3,91,100,13.2
220,Jamestown,US,2022-12-28 03:58:37,42.097,-79.2353,27.01,96,100,3.0
221,Eureka,US,2022-12-28 04:02:06,40.8021,-124.1637,49.93,93,91,1.01
222,Arman',RU,2022-12-28 04:02:06,59.7,150.1667,0.18,79,0,9.48
223,Russell,US,2022-12-28 04:00:38,32.3502,-85.1999,36.01,77,29,2.64
224,Nouadhibou,MR,2022-12-28 04:02:07,20.931,-17.0347,64.98,77,0,2.59
225,Milazzo,IT,2022-12-28 04:02:07,38.2212,15.2383,59.83,89,3,4.0
226,Saskylakh,RU,2022-12-28 04:02:08,71.9167,114.0833,-40.67,100,97,4.16
227,San Borja,BO,2022-12-28 03:58:11,-14.8167,-66.85,74.08,96,95,2.77
228,Fonte Boa,BR,2022-12-28 03:58:11,-2.4959,-66.2662,73.67,97,100,2.39
229,Khatanga,RU,2022-12-28 04:02:08,71.9667,102.5,-35.1,100,99,2.66
230,Finschhafen,PG,2022-12-28 04:02:09,-6.6024,147.8681,87.24,70,99,15.32
231,Tapiramutá,BR,2022-12-28 04:02:09,-11.8472,-40.7914,64.2,98,93,3.36
232,Maraã,BR,2022-12-28 04:02:09,-1.8333,-65.3667,72.55,99,100,2.71
233,Hualmay,PE,2022-12-28 04:02:10,-11.0964,-77.6139,69.44,85,100,8.41
234,La Santisima Trinidad,BO,2022-12-28 04:02:10,-14.8333,-64.9,73.83,95,16,4.25
235,Tabou,CI,2022-12-28 04:02:10,4.423,-7.3528,78.01,80,8,5.79
236,Sakaidechō,JP,2022-12-28 04:02:11,34.3167,133.85,53.98,72,13,11.5
237,Anadyr,RU,2022-12-28 04:01:14,64.75,177.4833,-15.29,88,3,9.4
238,Kumba,CM,2022-12-28 03:58:14,4.6363,9.4469,71.4,76,37,1.3
239,Praia da Vitória,PT,2022-12-28 03:57:40,38.7333,-27.0667,61.05,100,75,8.75
240,Hutchinson,US,2022-12-28 04:00:52,38.0608,-97.9298,41.59,59,26,7.0
241,Saint-Philippe,RE,2022-12-28 04:02:12,-21.3585,55.7679,81.99,74,36,10.22
242,Nishihara,JP,2022-12-28 04:02:12,26.1842,127.7558,69.85,62,40,13.8
243,Ulsteinvik,NO,2022-12-28 04:02:12,62.3432,5.8487,34.75,76,80,5.99
244,Port-Cartier,CA,2022-12-28 04:02:12,50.0334,-66.8654,-2.18,86,11,7.43
245,Naraini,IN,2022-12-28 04:02:13,25.1833,80.4833,60.3,37,3,6.93
246,Marystown,CA,2022-12-28 04:02:13,47.1666,-55.1483,36.99,83,99,24.67
247,Nantucket,US,2022-12-28 04:02:14,41.2835,-70.0995,33.91,59,0,5.75
248,Kokopo,PG,2022-12-28 04:02:14,-4.352,152.2633,86.16,53,38,11.97
249,Richards Bay,ZA,2022-12-28 03:59:59,-28.783,32.0377,72.99,87,54,9.62
250,Grindavik,IS,2022-12-28 04:02:16,63.8424,-22.4338,21.67,73,20,11.5
251,Yantal',RU,2022-12-28 04:02:16,56.8471,105.2542,12.58,93,100,5.12
252,Kargasok,RU,2022-12-28 04:02:17,59.0556,80.8572,2.41,98,100,5.39
253,Tezu,IN,2022-12-28 04:02:17,27.9167,96.1667,65.34,36,78,3.49
254,Whyalla,AU,2022-12-28 03:58:18,-33.0333,137.5833,68.99,51,30,24.79
255,Prince Rupert,CA,2022-12-28 04:02:17,54.3161,-130.3201,35.69,100,100,6.91
256,Quatre Cocos,MU,2022-12-28 04:02:18,-20.2078,57.7625,81.09,67,12,13.13
257,Philadelphia,US,2022-12-28 04:00:04,39.9523,-75.1638,33.96,74,21,2.73
258,Bubaque,GW,2022-12-28 04:02:18,11.2833,-15.8333,76.32,72,91,14.9
259,Jinchang,CN,2022-12-28 04:02:19,38.4953,102.1739,23.4,29,31,2.66
260,São José da Coroa Grande,BR,2022-12-28 04:02:19,-8.8978,-35.1478,76.6,85,6,7.67
261,Lewistown,US,2022-12-28 03:58:19,40.5992,-77.5714,29.71,93,100,0.0
262,Ribeira Grande,PT,2022-12-28 04:02:19,38.5167,-28.7,61.77,95,90,7.0
263,Dubove,UA,2022-12-28 04:02:20,48.1721,23.8895,32.38,86,37,1.21
264,Katsuura,JP,2022-12-28 04:02:20,35.1333,140.3,55.92,56,75,18.14
265,Esim,GH,2022-12-28 04:02:20,4.8699,-2.2405,76.35,80,42,5.64
266,Antiguo Morelos,MX,2022-12-28 03:58:20,22.5495,-99.0812,56.91,92,1,4.05
267,Bartica,GY,2022-12-28 04:02:21,6.4,-58.6167,71.06,99,90,0.56
268,Anshun,CN,2022-12-28 04:02:21,26.25,105.9333,32.92,98,100,6.93
269,Caceres,ES,2022-12-28 03:52:25,39.522,-6.3748,45.7,88,1,1.28
270,Rawson,AR,2022-12-28 04:02:22,-43.3002,-65.1023,59.09,60,28,10.07
271,Fortuna,US,2022-12-28 04:02:22,40.5982,-124.1573,49.66,95,100,8.05
272,Isangel,VU,2022-12-28 04:02:22,-19.55,169.2667,82.31,75,98,10.02
273,Adrar,MR,2022-12-28 04:02:23,20.5022,-10.0711,65.71,27,57,12.08
274,Panabá,MX,2022-12-28 04:02:23,21.2833,-88.2667,64.85,83,1,6.35
275,Zheleznodorozhnyy,RU,2022-12-28 04:02:23,55.7503,38.0042,29.35,97,100,6.33
276,Bontang,ID,2022-12-28 04:02:24,0.1333,117.5,86.99,56,99,1.86
277,Qaqortoq,GL,2022-12-28 04:02:24,60.7167,-46.0333,13.41,81,94,7.27
278,Seoul,KR,2022-12-28 03:57:45,37.5683,126.9778,33.19,31,0,11.5
279,Poum,NC,2022-12-28 04:02:25,-20.2333,164.0167,79.97,83,100,19.51
280,Rocky Mountain House,CA,2022-12-28 04:02:25,52.3668,-114.9188,21.22,95,100,8.1
281,Kariba,ZW,2022-12-28 04:02:25,-16.5167,28.8,69.24,65,23,3.44
282,Tautira,PF,2022-12-28 04:02:26,-17.7333,-149.15,80.37,75,4,11.48
283,Camocim,BR,2022-12-28 04:02:26,-2.9022,-40.8411,78.04,82,66,10.67
284,Sioux Lookout,CA,2022-12-28 04:02:27,50.1001,-91.917,7.43,97,92,5.44
285,Indramayu,ID,2022-12-28 03:58:24,-6.3264,108.32,85.41,64,99,16.75
286,Atkinson,US,2022-12-28 04:02:27,42.8384,-71.147,26.28,74,0,1.01
287,Toktogul,KG,2022-12-28 04:02:27,41.8708,72.9402,23.94,67,100,1.68
288,Sinnamary,GF,2022-12-28 04:02:28,5.3833,-52.95,76.01,89,56,9.66
289,Manono,CD,2022-12-28 04:02:28,-7.3,27.4167,65.86,96,84,3.11
290,Sangar,RU,2022-12-28 04:02:28,63.9242,127.4739,-22.04,96,100,10.31
291,Acapulco de Juárez,MX,2022-12-28 03:58:40,16.8634,-99.8901,74.97,81,0,3.98
